Vertical_Name,ICS_Top3_Share,DIS_PC_Search,CPC_Diff_PC_vs_Mobile,CPC_YoY_Category,Demand_Dynamics_Index
Apparel,"89,9",NA,#VALUE!,Stable,Mixed demand momentum
Automotive,"82,1",78,"0,18",Stable,Negative demand momentum
Media & Publications,"65,6",67,"0,18",NA,Positive demand momentum
Travel & Tourism,"65,2",81,"0,49",Increase,Mixed demand momentum
Beauty & Personal Care,"46,9",NA,#VALUE!,Stable,NA
Computers & Consumer Electronics,100,85,"0,26",Stable,Positive demand momentum
Finance,"67,1",82,"0,83",NA,Negative demand momentum
Home & Garden,"59,9",66,"0,27",Decrease,Positive demand momentum
Arts & Entertainment,"71,8",75,"0,15",NA,NA
Business & Industrial,"62,6",80,"0,35",Increase,NA
Hobbies & Leisure,"75,2",77,"0,16",Decrease,Positive demand momentum