Thesis,Supporting Metric,Value,Example Vertical
MSA is desktop first,Average PC search share,77,Hobbies & Leisure
,Highest PC share,85,Computers & Consumer Electronics
,Lowest PC share,66,Home & Garden
Demand is concentrated,Average Top3 share,71,Arts & Entertainment
,Highest Top3 share,100,Computers & Consumer Electronics
,Lowest Top3 share,"46,9",Beauty & Personal Care
Desktop CPC premium,Average CPC desktop premium,"0,32",Business & Industrial
,Highest CPC desktop premium,"0,83",Finance
,Lowest CPC desktop premium,"0,15",Arts & Entertainment
Cost dynamics vary,CPC Increase Vertical Count,2,
,CPC Decrease Vertical Count,2,
,CPC Stable Vertical Count,4,
,Median CPC YoY,"-1,00",